notes,objectid,parentid,identifier,title,interviewee,lastname,firstname,interviewer,duration,transcriber,description,object_transcript,subject,archival_date,date,location,latitude,longitude,source,finding_aid,filename,type,format,signed_release,restrictions,creator,language,related_items,rights,rightsstatement,youtubeid,display_template,object_location,image_small,image_thumb
,hohp026,hohp025,antonio-hernandez-rodriguez-group-portrait,Antonio Hernandez Rodriguez group portrait,Antonio Hernandez Rodriguez,Rodriguez,Antonio,,,,"Antonio Hernandez Rodriguez was instrumental in organizing committees in southern Idaho migrant labor camps to celebrate traditional Mexican fiestas and other cultural events. During the late 1950s, this Twin Falls committee of volunteers helped organize Mexican Independence Day festivities (photo #76-102.65/A courtesy Idaho State Historical Society).",,portraits;,1992,1992,"Boise, Idaho",43.616376,-116.201593,Idaho collection,,antonio-hernandez-rodriguez-group-portrait.jpg,Image;StillImage,image/jpeg,,,Idaho Commission on Hispanic Affairs;Idaho Humanities Council,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,https://www.lib.uidaho.edu/digital/objects/hohp/antonio-hernandez-rodriguez-group-portrait.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/small/antonio-hernandez-rodriguez-group-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/antonio-hernandez-rodriguez-group-portrait_th.jpg
,hohp027,hohp025,antonio-hernandez-rodriguez-portrait,Antonio Hernandez Rodriguez,Antonio Hernandez Rodriguez,Rodriguez,Antonio,,,,Antonio Hernandez Rodriguez owns El Charro restaurant in Nampa (photo by Rick Ardinger).,,portraits;,1992,1992,"Boise, Idaho",43.616376,-116.201593,Idaho collection,,antonio-hernandez-rodriguez-portrait.jpg,Image;StillImage,image/jpeg,,,Idaho Commission on Hispanic Affairs;Idaho Humanities Council,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,https://www.lib.uidaho.edu/digital/objects/hohp/antonio-hernandez-rodriguez-portrait.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/small/antonio-hernandez-rodriguez-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/antonio-hernandez-rodriguez-portrait_th.jpg
,hohp028,hohp025,mg491-1-1-antonio-hernandez-rodriguez-index,Antonio (Tony) H. Rodriguez Oral History Interview Summary Tape Index,Antonio (Tony) H. Rodriguez,Rodriguez,Antonio (Tony) Hernandez,Patricia McDaniel,,,interview summary,,racial discrimination; discrimination; armed forces; military forces; education; Mexican American; Roman Catholicism; cultural holidays; Hispanic American;,5 November 1991,1991-11-05,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491-1-1-antonio-hernandez-rodriguez-index.pdf,Text,application/pdf,yes,no,,eng,https://content.libraries.wsu.edu/digital/collection/imls_3/id/1355/rec/1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491-1-1-antonio-hernandez-rodriguez-index.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-antonio-hernandez-rodriguez-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-antonio-hernandez-rodriguez-index_th.jpg
needs transcript,hohp029,hohp025,mg491_t22_rodriguezantonio,Antonio (Tony) H. Rodriguez Oral History Interview Audio,Antonio (Tony) H. Rodriguez,Rodriguez,Antonio (Tony) H.,Patricia McDaniel,2:04:08,,Audio of interview between Antonio Rodriguez and Patricia McDaniel.,,Hispanic American; Spanish (lanuage); immigration; family life; childhood; education; racial discrimination; citizen participation;,5 November 1991,1991-11-05,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t22_rodriguezantonio.mp3,Sound,audio/mp3,yes,no,,spa; eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t22_rodriguezantonio.mp3,,
,hohp030,,,Epigmenio J. Rosales,Epigmenio J. Rosales,Rosales,Epigmenio J.,Angela Luckey,,,Interview with Epigmenio J. Rosales,,immigration; communities (social groups); education; internment camps; farming; migrant workers; boxing; racial discrimination; ethnicity; railroads (infrastructure); railroad workers; Hispanic American;,23 May 1991,1991-05-23,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-epigmenio-j-rosales-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-epigmenio-j-rosales-index_th.jpg
,hohp031,hohp030,mg491-1-1-epigmenio-j-rosales-index,Epigmenio J. Rosales Oral History Interview Summary Tape Index,Epigmenio J. Rosales,Rosales,Epigmenio J.,Angela Luckey,,,Interview summary,,immigration; communities (social groups); education; internment camps; farming; migrant workers; boxing; racial discrimination; ethnicity; railroads (infrastructure); railroad workers; Hispanic American;,23 May 1991,1991-05-23,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491-1-1-epigmenio-j-rosales-index.pdf,Text,application/pdf,yes,no,,eng,https://content.libraries.wsu.edu/digital/collection/imls_3/id/1024/rec/1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491-1-1-epigmenio-j-rosales-index.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-epigmenio-j-rosales-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-epigmenio-j-rosales-index_th.jpg
,hohp032,hohp030,mg491_t24_rosalesepigmenio,Epigmenio J. Rosales Oral History Interview Transcript,Epigmenio J. Rosales,Rosales,Epigmenio J.,Angela Luckey,2:09:06,Transcribed by Otter.AI,Transcription of interview between Epigmenio Rosales and Angela Luckey. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,Mexican American; railroad workers; family life; farming (activity or system); epidemics; Spanish (language); education; racial discrimination; ethnicity; group identity; Hispanic American;,23 May 1991,1991-05-23,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t24_rosalesepigmenio.pdf,Text,application/pdf,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t24_rosalesepigmenio.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491_t24_rosalesepigmenio_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491_t24_rosalesepigmenio_th.jpg
,hohp033,hohp030,mg491_t24_rosalesepigmenio,Epigmenio J. Rosales Oral History Interview Audio,Epigmenio J. Rosales,Rosales,Epigmenio J.,Angela Luckey,2:09:06,Transcribed by Otter.AI Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,Audio of interview between Epigmenio Rosales and Angela Luckey.,objects/mg491_t24_rosalesepigmenio.md,Mexican American; railroad workers; family life; farming (activity or system); epidemics; Spanish (language); education; racial discrimination; ethnicity; group identity; Hispanic American;,23 May 1991,1991-05-23,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t24_rosalesepigmenio.mp3,Sound,audio/mp3,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t24_rosalesepigmenio.mp3,,
,hohp034,,,Jesuscita Salazar,Jesuscita Salazar,Salazar,Jesuscita Quintana,Patricia McDaniel,,,Interview with Jesuscita Salazar,,Spanish (language); racial discrimination; discrimination; ethnicity; Mexican American; communities (social groups); marriage (social construct); group identity; education; Hispanic American;,7 April 1991,1991-04-07,"Emmett, Idaho",43.87316175,-116.4948844,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-jesusita-salazar-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-jesusita-salazar-index_th.jpg
,hohp035,hohp034,mg491-1-1-jesusita-salazar-index,Jesuscita Salazar Oral History Interview Summary Tape Index,Jesuscita Quintana Salazar,Salazar,Jesuscita Quintana,Patricia McDaniel,,,interview summary,,Spanish (language); racial discrimination; discrimination; ethnicity; Mexican American; communities (social groups); marriage (social construct); group identity; education; Hispanic American;,7 April 1991,1991-04-07,"Emmett, Idaho",43.87316175,-116.4948844,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491-1-1-jesusita-salazar-index.pdf,Text,application/pdf,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491-1-1-jesusita-salazar-index.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-jesusita-salazar-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-jesusita-salazar-index_th.jpg
,hohp036,hohp034,mg491_t26_salazarjesusita,Jesuscita Salazar Oral History Interview Audio,Jesuscita Salazar,Salazar,Jesuscita,Patricia McDaniel,1:23:18,,Audio of interview between Jesuscita Salazar and Patricia McDaniel. Poor audio quality (volume).,,Hispanic American; Spanish (language);,19 March 1991,1991-03-19,"Emmett, Idaho",43.87316175,-116.4948844,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t26_salazarjesusita.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t26_salazarjesusita.mp3,,
,hohp037,,mg491_t28_salinaslibrado,Librado Salinas Oral History Interview Audio,Librado Salinas,Salinas,Librado,Maria Talamantes,0:57:01,,Audio of interview between Librado Salinas and Maria Talamante. Poor audio quality (volume).,,Hispanic American; Spanish (language);,13 January 1991,1991-01-13,"Twin Falls, Idaho",42.55728398,-114.4632667,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t28_salinaslibrado.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t28_salinaslibrado.mp3,,
,hohp038,,mg491_t30_sanchezleonel,Leonel Sanchez Oral History Interview Audio,Leonel Sanchez,Sanchez,Leonel,Marie Anderson,0:57:44,,Audio of interview between Leonel Sanchez and Marie Anderson.,,Hispanic American; immigration; childhood; family life; armed forces; Mexican American; communities (social groups); farming (activity or system);,15 January 1991,1991-01-15,"Twin Falls, Idaho",42.55728398,-114.4632667,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t30_sanchezleonel.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t30_sanchezleonel.mp3,,
,hohp039,,,Victoria A. Sierra,Victoria A. Sierra,Sierra,Victoria Archuleta,Angela Luckey,,,Interview with Victoria Archuleta Sierra,,Mexican American; family life; farming (activity or system); group identity; ethnicity; armed forces; racial discrimination; communities (social groups); railroad workers; education; Spanish (language); Hispanic American;,10 January 1991,1991-01-10,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/victoria-archuleta-sierra-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/victoria-archuleta-sierra-portrait_th.jpg
,hohp040,hohp039,victoria-archuleta-sierra-portrait,Photograph of Victoria Archuleta Sierra,Victoria Archuleta Sierra,Sierra,Victoria,,,,"Victoria Archuleta Sierra at home in Pocatello, 1992 (photo by Ana Pena).",,portraits;,1992,1992,"Boise, Idaho",43.616376,-116.201593,Idaho collection,,victoria-archuleta-sierra-portrait.jpg,Image;StillImage,image/jpeg,,,Idaho Commission on Hispanic Affairs;Idaho Humanities Council,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,https://www.lib.uidaho.edu/digital/objects/hohp/victoria-archuleta-sierra-portrait.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/small/victoria-archuleta-sierra-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/victoria-archuleta-sierra-portrait_th.jpg
,hohp041,hohp039,victoria-archuleta-sierra-us-army-portrait,US Army Photograph of Victoria Archuleta Sierra,Victoria Archuleta Sierra,Sierra,Victoria,,,,Victoria Archuleta Sierra enlisted in the U.S. Army at Pocatello and served as a nurse during World War II (photo courtesy the narrator).,,portraits; armed forces;,1992,1992,"Boise, Idaho",43.616376,-116.201593,Idaho collection,,victoria-archuleta-sierra-us-army-portrait.jpg,Image;StillImage,image/jpeg,,,Idaho Commission on Hispanic Affairs;Idaho Humanities Council,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,https://www.lib.uidaho.edu/digital/objects/hohp/victoria-archuleta-sierra-us-army-portrait.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/small/victoria-archuleta-sierra-us-army-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/victoria-archuleta-sierra-us-army-portrait_th.jpg
,hohp042,hohp039,mg491-1-1-victoria-archuleta-sierra-index,Victoria A. Sierra Oral History Interview Summary Tape Index,Victoria Archuleta Sierra,Sierra,Victoria Archuleta,Angela Luckey,,,interview summary,,farming; discrimination; racial discrimination; ethnicity; colleges (institutions); identity; ethnic identity; cultural holidays; Hispanic American;,10 January 1991,1991-01-10,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491-1-1-victoria-archuleta-sierra-index.pdf,Text,application/pdf,yes,no,,eng,https://content.libraries.wsu.edu/digital/collection/imls_3/id/1025/rec/1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491-1-1-victoria-archuleta-sierra-index.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491-1-1-victoria-archuleta-sierra-index_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491-1-1-victoria-archuleta-sierra-index_th.jpg
,hohp043,hohp039,mg491_t31_sierravictoria,Victoria A. Sierra Oral History Interview Transcript,Victoria Archuleta Sierra,Sierra,Victoria Archuleta,Angela Luckey,2:06:14,Transcribed by Otter.AI,Transcription of interview between Victoria Sierra and Angela Luckey. Note that transcript was produced by Otter.ai and may contain discrepancies. University of Idaho Special Collections and Archives is currently working to polish and clean up all transcripts in this collection.,,Mexican American; family life; farming (activity or system); group identity; ethnicity; armed forces; racial discrimination; communities (social groups); railroad workers; education; Spanish (language); Hispanic American;,10 January 1991,1991-01-10,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t31_sierravictoria.pdf,Text,application/pdf,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t31_sierravictoria.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491_t31_sierravictoria_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491_t31_sierravictoria_th.jpg
,hohp044,hohp039,mg491_t31_sierravictoria,Victoria A. Sierra Oral History Interview Audio,Victoria Archuleta Sierra,Sierra,Victoria Archuleta,Angela Luckey,2:06:14,,Audio of interview between Victoria Sierra and Angela Luckey.,,Mexican American; family life; farming (activity or system); group identity; ethnicity; armed forces; racial discrimination; Hispanic American; communities (social groups); railroad workers; education; Spanish (language);,10 January 1991,1991-01-10,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t31_sierravictoria.mp3,Sound,audio/mp3,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t31_sierravictoria.mp3,,
,hohp045,,mg491_t33_valenzuelaalfredo,Alfredo Valenzuela Oral History Interview Audio,Alfredo Valenzuela,Valenzuela,Alfredo,Patricia McDaniel,2:03:53,,Audio of interview between Alfredo Valenzuela and Patricia McDaniel. Poor audio quality (volume).,,Hispanic American; Spanish (language); childhood; family life; education; communities (social groups); marriage (social construct);,January 1991,1991-01,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t33_valenzuelaalfredo.mp3,Sound,audio/mp3,yes,no,,spa; eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t33_valenzuelaalfredo.mp3,,
,hohp046,,mg491_t35_varelaelvira,Elvira Varela Oral History Interview Audio,Elvira Varela,Varela,Elvira,Martha Torrez,0:39:28,,Audio of interview between Elvira Varela and Martha Torrez.,,Hispanic American; Spanish (language); immigration; family life; childhood; education; Mexican American;,19 October 1991,1991-10-19,"Pocatello, Idaho",42.8615307,-112.4582449,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t35_varelaelvira.mp3,Sound,audio/mp3,yes,no,,spa,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,audio,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t35_varelaelvira.mp3,,
,hohp047,,,Abel Vasquez,Abel Vasquez,Vasquez,Abel,Martha Torrez,,,Interview with Abel Vasquez,,Mexican American; family life; farming (activity or system); communities (social groups); communities (inhabited places); Hispanic American; education; Spanish (language); marriage (social construct); childhood;,13 January 1991,1991-01-13,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,,record,compound_object,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,compound_object,,https://www.lib.uidaho.edu/digital/objects/hohp/small/abel-vasquez-portrait_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/abel-vasquez-portrait_th.jpg
,hohp048,hohp047,mg491_t36_vasquezabel,Abel Vasquez Oral History Interview Transcript,Abel Vasquez,Vasquez,Abel,Martha Torrez,2:06:43,Transcribed by Otter.AI. Revised by Zoe Stave.,Transcription of interview between Abel Vasquez and Martha Torrez.,,Mexican American; family life; farming (activity or system); communities (social groups); communities (inhabited places); Hispanic American; education; Spanish (language); marriage (social construct); childhood;,13 January 1991,1991-01-13,"Nampa, Idaho",43.58009383,-116.5611768,"MG491, Hispanic Oral History Project Interviews, University of Idaho Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv327327,mg491_t36_vasquezabel_revised.pdf,Text,application/pdf,yes,no,,eng,,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,pdf,https://www.lib.uidaho.edu/digital/objects/hohp/mg491_t36_vasquezabel_revised.pdf,https://www.lib.uidaho.edu/digital/objects/hohp/small/mg491_t36_vasquezabel_revised_sm.jpg,https://www.lib.uidaho.edu/digital/objects/hohp/thumbs/mg491_t36_vasquezabel_revised_th.jpg
